PointID,WMA,Date,Time,Trap,Species,Sex,Wgt,HindFt,TailLgth,BodyLgth,TotalLgth,Comments,Column1
1739,LC,9/19/2010,7:52:00 AM,GR,BMWHMO,M,26,21,69,99,168,,
1739,LC,9/19/2010,7:54:00 AM,GR,BMWHMO,F,29,22,72,90,162,,
1739,LC,9/19/2010,8:00:00 AM,GR,BMWHMO,M,29,21,,,,Escaped,
1771,LC,10/9/2010,10:05:00 AM,GR,BMCOMO,F,29,22,75,92,167,,1
1771,LC,10/10/2010,10:16:00 AM,GR,BMCOMO,F,37,21,77,73,150,,1
1771,LC,10/11/2010,10:22:00 AM,GR,BMCOMO,F,37,21,80,90,170,,1
1771,LC,10/11/2010,10:27:00 AM,GR,BMCOMO,M,33,23,71,101,172,,
1777,LC,10/10/2010,9:32:00 AM,GR,BMCOMO,F,29,21,64,71,135,,1
1777,LC,10/11/2010,11:40:00 AM,TR,BMCOMO,M,26,23,75,82,157,,1
1777,LC,10/11/2010,11:43:00 AM,GR,BMCOMO,M,31,22,74,85,159,,
1777,LC,10/11/2010,11:46:00 AM,GR,BMCOMO,F,13,21,53,55,108,Juvenile,
1777,LC,10/11/2010,11:49:00 AM,GR,BMCOMO,M,27,22,72,82,154,,
1777,LC,10/12/2010,10:13:00 AM,GR,BMCOMO,F,33,22,74,93,167,,1
1777,LC,10/12/2010,10:15:00 AM,GR,BMCOMO,M,26,22,69,81,150,,
1777,LC,10/12/2010,10:20:00 AM,TR,BMCOMO,F,13,20,46,72,118,Juvenile,
1794,LC,9/19/2010,9:04:00 AM,GR,BMWHMO,F,27,21,76,87,163,,1
1808,LC,10/9/2010,9:55:00 AM,GR,BMCOMO,F,36,23,74,83,157,,
1808,LC,10/9/2010,10:00:00 AM,GR,BMCOMO,F,34,22,72,79,151,,1
1808,LC,10/9/2010,10:05:00 AM,GR,BMCOMO,M,28,21,72,70,142,,
1808,LC,10/10/2010,10:13:00 AM,GR,BMCOMO,F,26,22,77,79,156,,1
1808,LC,10/10/2010,10:16:00 AM,GR,BMCOMO,F,31,22,68,79,147,,
1808,LC,10/10/2010,10:20:00 AM,GR,BMCOMO,M,34,23,73,81,154,,
1808,LC,10/10/2010,10:23:00 AM,GR,BMCOMO,M,26,23,70,86,156,,
1808,LC,10/10/2010,10:27:00 AM,GR,BMCOMO,F,32,22,71,74,145,,
1808,LC,10/10/2010,10:30:00 AM,GR,BMCOMO,M,26,22,78,81,159,,
1808,LC,10/10/2010,10:33:00 AM,GR,BMCOMO,F,29,22,71,72,143,,
1808,LC,10/10/2010,10:37:00 AM,GR,BMCOMO,M,38,22,70,92,162,Scrotal,
1808,LC,10/11/2010,1:02:00 PM,GR,BMCOMO,F,29,22,74,80,154,,1
1808,LC,10/11/2010,1:04:00 PM,GR,BMCOMO,F,29,22,72,95,167,,
1808,LC,10/11/2010,1:07:00 PM,GR,BMCOMO,M,26,22,69,79,148,,
1842,LC,9/16/2010,10:45:00 AM,TR,BMGOMO,M,20,17,80,82,162,,1
1842,LC,9/17/2010,11:48:00 AM,TR,BMGOMO,F,22,17,86,78,164,,1
1842,LC,9/18/2010,9:28:00 AM,TR,BMGOMO,M,18,18,77,76,153,,1
1842,LC,9/18/2010,9:32:00 AM,TR,BMGOMO,F,20,16,85,82,167,,
1927,LC,10/2/2010,9:53:00 AM,GR,BMWHMO,,,,,,,,1
1927,LC,10/2/2010,9:55:00 AM,GR,BMGOMO,F,22,14,75,61,136,,1
1927,LC,10/3/2010,10:40:00 AM,TR,BMWHMO,M,13,16,66,55,121,,1
1927,LC,10/3/2010,10:45:00 AM,GR,BMGOMO,F,17,18,79,72,151,Caught in same trap,1
1927,LC,10/3/2010,10:45:00 AM,GR,BMWHMO,F,17,18,60,84,144,Caught in same trap,
1927,LC,10/4/2010,9:03:00 AM,GR,BMWHMO,F,13,13,58,63,121,,1
1927,LC,10/4/2010,9:05:00 AM,GR,BMWHMO,M,19,19,61,71,132,,
1927,LC,10/4/2010,9:07:00 AM,GR,BMWHMO,M,20,19,72,69,141,,
1927,LC,10/4/2010,9:08:00 AM,GR,BMGOMO,F,21,18,76,70,146,,1
1929,LC,10/3/2010,11:24:00 AM,TR,BMCOMO,M,,23,75,89,164,,1
1929,LC,10/4/2010,10:10:00 AM,TR,BMCOMO,M,27,23,75,90,165,,1
1929,LC,10/4/2010,10:14:00 AM,TR,BMGOMO,F,14,17,76,66,142,,1
1929,LC,10/4/2010,10:18:00 AM,GR,BMGOMO,F,17,15,77,76,153,,
1929,LC,10/4/2010,10:23:00 AM,GR,BMSSSH,,6,9,15,57,72,Dead,1
1929,LC,10/4/2010,10:32:00 AM,GR,BMGOMO,M,20,19,84,76,160,,
1929,LC,10/5/2010,9:00:00 AM,TR,BMGOMO,M,17,15,74,78,152,,1
1929,LC,10/5/2010,9:05:00 AM,GR,BMGOMO,F,18,21,79,79,158,,
1929,LC,10/5/2010,9:05:00 AM,TR,BMCOMO,M,22,22,75,101,176,Dead,1
1929,LC,10/5/2010,9:12:00 AM,GR,BMGOMO,F,17,13,68,72,140,,
1929,LC,10/5/2010,9:16:00 AM,GR,BMGOMO,F,11,12,71,65,136,,
1954,LC,10/3/2010,8:41:00 AM,GR,BMCOMO,F,33,22,75,96,171,,1
1954,LC,10/4/2010,10:02:00 AM,GR,BMWHMO,M,22,19,58,60,118,,1
1954,LC,10/4/2010,10:07:00 AM,GR,BMWHMO,F,30,20,75,85,160,,
1954,LC,10/4/2010,10:09:00 AM,GR,BMWHMO,F,24,19,67,76,143,,
1954,LC,10/4/2010,10:11:00 AM,GR,BMGOMO,F,18,17,70,68,138,,1
1954,LC,10/5/2010,9:00:00 AM,GR,BMCOMO,F,34,22,68,74,142,,1
1954,LC,10/5/2010,9:03:00 AM,GR,BMGOMO,F,22,15,65,69,134,,1
